id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
4439824;Ôø´ CENTRALLY LOCATED 2P. APARTMENT - LONG TERM RENT;23043145;Alfred;;Oud-Oost;5235466;490998;Entire home/apt;109;14;18;30.01.18;0.34;1;2
4442628;Romantic Apartment City Center;9814743;Koen;;De Baarsjes - Oud-West;5236975;486959;Entire home/apt;115;7;11;07.09.15;0.20;1;0
4443023;Beautiful big flat near City Center;1528413;Keren;;De Baarsjes - Oud-West;523592;485667;Entire home/apt;144;4;23;22.05.19;0.41;1;281
4444190;Family apartment in Vondelpark area;20125546;Thies;;De Baarsjes - Oud-West;5235971;485377;Entire home/apt;150;4;2;19.04.17;0.04;1;0
4444643;Central, Bright & Bohemian Style in Jordaan area!;23067863;Marjolein;;Westerpark;5237637;487271;Entire home/apt;95;3;6;01.07.18;0.12;1;0
4445752;Lovely apartment in centre Adam;22974857;Anne;;De Pijp - Rivierenbuurt;523561;490177;Entire home/apt;89;3;45;18.06.19;0.82;1;4
4447873;Comfortable double room;23082087;Ella;;Bijlmer-Centrum;523217;494441;Private room;80;1;9;28.05.17;0.33;3;0
4448285;Spacious treasure very authentic in hip Old West!;4883501;Ilse And Guus;;De Baarsjes - Oud-West;5236696;48653;Entire home/apt;145;4;42;02.07.19;0.75;1;0
4449764;Room + own shower and toilet, breakfast included;22594722;Maike & Caspar;;Oostelijk Havengebied - Indische Buurt;5237211;495165;Private room;69;1;542;21.06.19;Sep/56;2;0
4453216;Apartment (August 10-23 2016) De Pijp;11147830;Chris;;De Pijp - Rivierenbuurt;5235394;489239;Entire home/apt;60;7;0;;;1;0
4455237;Charming house close to city center;7804507;Anke;;De Baarsjes - Oud-West;5237037;48624;Entire home/apt;150;3;6;05.01.17;0.11;1;0
4455717;Lovely apart with private garden;23120730;Liline;;De Baarsjes - Oud-West;5236476;485639;Entire home/apt;135;2;12;16.06.19;0.23;1;210
4455922;Sunny Spacious 85m2 + roof terrace!;3142340;Nils;;Westerpark;5238518;487212;Entire home/apt;98;4;38;28.03.18;0.73;1;0
4459764;"B&B Reijgershof ""Yurt""";5137582;C.T.;;Gaasperdam - Driemond;5231451;49943;Private room;85;1;178;07.07.19;Mär 43;5;128
4460187;Central place with gorgeous view;8241179;Gerardo;;Centrum-West;5238492;489348;Entire home/apt;200;3;10;16.09.18;0.24;1;37
4462332;Cocos's Outback Apartment 2;17991957;Jane;;Centrum-Oost;5236457;489658;Entire home/apt;220;7;58;18.06.19;01. Nov;3;92
4463527;Private apartment next to park;17701024;Anouk;;Bos en Lommer;5238674;484865;Entire home/apt;74;3;10;02.07.17;0.18;1;0
